"1,ANCESTOR,FOREFATHER (SYNONYM),(NOUN)"
"2,BROADCAST,SEND IN ALL DIRECTIONS (SYNONYM),(NOUN)"
"3,CHAMPION,OVERALL WINNER (SYNONYM),(NOUN)"
"4,DESIGNATE,TO ASSIGN (SYNONYM),(NOUN)"
"5,ESTIMATE,APPROXIMATION (SYNONYM),(NOUN)"
"6,FRIGHTEN,MAKE AFRAID (SYNONYM),(NOUN)"
"7,GUARANTEE,AN ASSURANCE (SYNONYM),(NOUN)"
"8,INCREASE,TO MAKE GREATER (SYNONYM),(NOUN)"
"9,EXCELLENT,OF HIGHEST QUALITY (SYNONYM),(NOUN)"
"10,DISAPPEAR,TO BECOME INVISIBLE (SYNONYM),(NOUN)"
"11,LANDLORD,TENANT (ANTONYM),(NOUN)"
"12,BOUNDLESS,LIMITED (ANTONYM),(NOUN)"
"13,PESSIMIST,OPTIMIST (ANTONYM),(NOUN)"
"14,SEPARATE,JOIN (ANTONYM),(NOUN)"
"15,SUPERIOR,INFERIOR (ANTONYM),(NOUN)"
"16,COMPULSORY,VOLUNTARY (ANTONYM),(NOUN)"
"17,ARTIFICIAL,NATURAL (ANTONYM),(NOUN)"
"18,REPULSIVE,ATTRACTIVE (ANTONYM),(NOUN)"
"19,EXPENSIVE,CHEAP (ANTONYM),(NOUN)"
"20,DANGEROUS,SAFE (ANTONYM),(NOUN)"
