"1,AFRAID,TO FEAR (SYNONYM),(NOUN)"
"2,BRIEF,OF SHORT TIME (SYNONYM),(NOUN)"
"3,CHASE,GO AFTER (SYNONYM),(NOUN)"
"4,EXIST,STATE OF BEING (SYNONYM),(NOUN)"
"5,FAULT,A DEFECT (SYNONYM),(NOUN)"
"6,LUNCH,MEAL DURING DAY (SYNONYM),(NOUN)"
"7,OFTEN,FREQUENCY (SYNONYM),(NOUN)"
"8,MERCY,SHOWING KINDNESS (SYNONYM),(NOUN)"
"9,HUGE,VERY BIG (SYNONYM),(NOUN)"
"10,GRANT,TO GIVE (SYNONYM),(NOUN)"
"11,QUIET,NOISY (ANTONYM),(NOUN)"
"12,MINOR,MAJOR (ANTONYM),(NOUN)"
"13,GRANT,REFUSE (ANTONYM),(NOUN)"
"14,BROAD,NARROW (ANTONYM),(NOUN)"
"15,AWAKE,ASLEEP (ANTONYM),(NOUN)"
"16,BLAME,PRAISE (ANTONYM),(NOUN)"
"17,HOPE,DESPAIR (ANTONYM),(NOUN)"
"18,CRUEL,KIND (ANTONYM),(NOUN)"
"19,RAPID,SLOW (ANTONYM),(NOUN)"
"20,THICK,THIN (ANTONYM),(NOUN)"
