"1,NEPHEW,RELATION,(NOUN)"
"2,SPOUSE,RELATION,(NOUN)"
"3,SIBLING,RELATION,(NOUN)"
"4,COUSIN,RELATION,(NOUN)"
"5,HUSBAND,RELATION,(NOUN)"
"6,TULIPS,FLOWER,(NOUN)"
"7,JASMINE,FLOWER,(NOUN)"
"8,MARIGOLD,FLOWER,(NOUN)"
"9,DAHLIA,FLOWER,(NOUN)"
"10,ORCHID,FLOWER,(NOUN)"
"11,BICYCLE,VEHICLE,(NOUN)"
"12,SCOOTER,VEHICLE,(NOUN)"
"13,TRACTOR,VEHICLE,(NOUN)"
"14,GLIDER,VEHICLE,(NOUN)"
"15,ROCKET,VEHICLE,(NOUN)"
"16,KIDNEY,BODY PART,(NOUN)"
"17,FINGER,BODY PART,(NOUN)"
"18,STOMACH,BODY PART,(NOUN)"
"19,EYEBROW,BODY PART,(NOUN)"
"20,SHOULDER,BODY PART,(NOUN)"
